,AAPL,MSFT,GOOGL,AMZN,NVDA,FB,ADBE,CSCO,INTC,ORCL
AAPL,0.0071964372473886035,0.002720107701411062,0.0023622452318744444,0.00381261263231615,0.006227756000974188,0.004015399972284375,0.0039891935215433365,0.001911982028771661,0.0012888616592813202,0.0018475670311088905
MSFT,0.002720107701411062,0.0027689095215079782,0.002141213917743286,0.0029501976629430645,0.0036555622811116862,0.002136384962238099,0.0029833140916124593,0.0011916998859725814,0.0011862032178455526,0.0015944871955226763
GOOGL,0.0023622452318744444,0.002141213917743286,0.004094786578925386,0.0027138471130045694,0.0033473808900807115,0.0029974002534978467,0.002300195570956841,0.0012677276213356155,0.0008175659307022003,0.0015406578017615642
AMZN,0.00381261263231615,0.0029501976629430645,0.0027138471130045694,0.006407580740837567,0.005113890281550038,0.004068570736978025,0.003841375685479021,0.0019142222269469818,0.0007816903501597401,0.0018909223213806148
NVDA,0.006227756000974188,0.0036555622811116862,0.0033473808900807115,0.005113890281550038,0.01579138538464195,0.0044677629695694995,0.005544836321507624,0.0009907369488206905,0.0018868784011346076,0.002456175284100993
FB,0.004015399972284375,0.002136384962238099,0.0029974002534978467,0.004068570736978025,0.0044677629695694995,0.006942385534466949,0.0036253147496607564,0.002004328019677631,0.0008509702941797137,0.0020529452684747655
ADBE,0.0039891935215433365,0.0029833140916124593,0.002300195570956841,0.003841375685479021,0.005544836321507624,0.0036253147496607564,0.005011746028317016,0.0017608667669051106,0.0014334114479929217,0.002153877853311059
CSCO,0.001911982028771661,0.0011916998859725814,0.0012677276213356155,0.0019142222269469818,0.0009907369488206905,0.002004328019677631,0.0017608667669051106,0.004860582269219783,0.0017928782827214696,0.0017356748838808977
INTC,0.0012888616592813202,0.0011862032178455526,0.0008175659307022003,0.0007816903501597401,0.0018868784011346076,0.0008509702941797137,0.0014334114479929217,0.0017928782827214696,0.005229615428058618,0.0008126332170352571
ORCL,0.0018475670311088905,0.0015944871955226763,0.0015406578017615642,0.0018909223213806148,0.002456175284100993,0.0020529452684747655,0.002153877853311059,0.0017356748838808977,0.0008126332170352571,0.003275572467006557
